country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","11-09-2025 21:00:00",12.938539,77.590100,SO2,3,15,9
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","11-09-2025 21:00:00",30.943887,76.801991,NO2,13,47,30
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","11-09-2025 21:00:00",30.943887,76.801991,NH3,8,19,10
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","11-09-2025 21:00:00",30.943887,76.801991,SO2,18,35,27
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","11-09-2025 21:00:00",34.066206,74.819820,PM10,32,60,44
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","11-09-2025 21:00:00",23.80569,86.44268,NO2,78,133,89
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","11-09-2025 21:00:00",23.707909,86.414670,OZONE,2,2,2
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-09-2025 21:00:00",28.567890,77.250515,NO2,6,33,12
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-09-2025 21:00:00",28.567890,77.250515,SO2,4,13,8
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","11-09-2025 21:00:00",28.6573814,77.1585447,PM2.5,14,87,46
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-09-2025 21:00:00",28.530785,77.271255,PM10,81,135,113
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-09-2025 21:00:00",28.530785,77.271255,CO,38,89,59
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","11-09-2025 21:00:00",28.674045,77.131023,PM2.5,17,110,49
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-09-2025 21:00:00",28.672342,77.315260,PM2.5,29,52,42
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-09-2025 21:00:00",28.672342,77.315260,SO2,3,24,11
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-09-2025 21:00:00",23.107969,72.574648,PM2.5,21,52,31
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-09-2025 21:00:00",23.107969,72.574648,OZONE,1,17,12
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","11-09-2025 21:00:00",23.002657,72.591912,PM2.5,7,68,25
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","11-09-2025 21:00:00",23.002657,72.591912,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","11-09-2025 21:00:00",23.020509,72.579261,NH3,1,1,1
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","11-09-2025 21:00:00",23.020509,72.579261,CO,5,68,12
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","11-09-2025 21:00:00",23.016834,72.625775,PM10,52,134,79
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","11-09-2025 21:00:00",23.016834,72.625775,SO2,9,57,24
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","11-09-2025 21:00:00",23.016834,72.625775,OZONE,2,15,6
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","11-09-2025 21:00:00",23.023389,72.515201,PM2.5,32,169,61
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-09-2025 21:00:00",28.732528,77.119920,NO2,1,16,4
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-09-2025 21:00:00",28.6514781,77.1473105,SO2,5,15,12
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-09-2025 21:00:00",28.5504249,77.2159377,PM2.5,26,48,36
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-09-2025 21:00:00",28.710508,77.249485,NH3,6,8,7
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-09-2025 21:00:00",28.639652,77.146275,SO2,7,8,7
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-09-2025 21:00:00",28.563262,77.186937,NO2,11,53,23
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-09-2025 21:00:00",28.563262,77.186937,NH3,3,5,4
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","11-09-2025 21:00:00",12.920984,77.584908,PM2.5,15,39,29
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","11-09-2025 21:00:00",12.7816279,77.6299145,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","11-09-2025 21:00:00",12.7816279,77.6299145,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","11-09-2025 21:00:00",12.921418,77.502466,SO2,6,6,6
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","11-09-2025 21:00:00",12.921418,77.502466,OZONE,21,22,21
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","11-09-2025 21:00:00",12.990328,77.5431385,NO2,17,21,19
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","11-09-2025 21:00:00",12.990328,77.5431385,SO2,7,7,7
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","11-09-2025 21:00:00",12.990328,77.5431385,CO,18,48,28
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","11-09-2025 21:00:00",13.0246342,77.5080115,PM2.5,56,88,66
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","11-09-2025 21:00:00",13.0246342,77.5080115,NO2,23,25,24
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","11-09-2025 21:00:00",13.0246342,77.5080115,NH3,4,4,4
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","11-09-2025 21:00:00",13.377516,77.099072,SO2,NA,NA,NA
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","11-09-2025 21:00:00",16.802639,75.722694,NH3,1,2,1
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","11-09-2025 21:00:00",16.802639,75.722694,CO,15,120,21
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","11-09-2025 21:00:00",16.802639,75.722694,OZONE,14,17,16
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","11-09-2025 21:00:00",16.7602,77.1428,CO,16,64,35
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","11-09-2025 21:00:00",10.073232,76.302765,NO2,7,8,8
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","11-09-2025 21:00:00",8.8787,76.6073,NO2,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","11-09-2025 21:00:00",8.8787,76.6073,OZONE,32,35,33
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","11-09-2025 21:00:00",8.563700,76.886500,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","11-09-2025 21:00:00",12.917348,77.622813,PM2.5,16,48,35
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","11-09-2025 21:00:00",12.917348,77.622813,PM10,17,232,107
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","11-09-2025 21:00:00",12.917348,77.622813,NH3,1,2,2
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","11-09-2025 21:00:00",12.917348,77.622813,OZONE,39,39,39
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","11-09-2025 21:00:00",17.930306,77.482194,PM10,9,37,21
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","11-09-2025 21:00:00",17.930306,77.482194,NO2,12,16,14
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","11-09-2025 21:00:00",13.428828,77.731418,NH3,1,2,1
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","11-09-2025 21:00:00",13.428828,77.731418,CO,14,22,19
